session_id,user_agent,ip_address,page_views,session_duration,avg_time_per_page,bounce_rate,scroll_depth,click_count,form_interactions,search_queries,request_frequency,javascript_enabled,cookie_enabled,screen_resolution,browser_language,referer_type,hour_of_day,day_of_week,time_between_clicks,page_load_time,unique_pages_visited,sequential_page_views,back_button_usage,tab_switches,copy_paste_events,is_bot
session_000000,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,164.29.7.190,7,284,87.73,0.507,41.8,9,2,1,0.6,1,1,1366x768,en-GB,direct,8,3,2505.0,1074.0,5,0.647,0,2,0,0
session_000001,python-requests/2.25.1,140.23.152.109,20,193,8.22,0.282,1.3,4,0,0,9.72,0,1,800x600,en,direct,19,7,494.0,519.0,13,0.955,1,0,0,1
session_000002,Scrapy/2.5.1,167.180.140.108,17,88,13.41,0.131,14.1,3,0,0,17.44,0,0,0x0,,direct,21,6,556.0,948.0,6,0.842,0,0,0,1
session_000003,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,109.88.72.40,10,351,31.7,0.613,47.2,12,4,1,3.63,1,1,1440x900,en-US,search,16,7,14190.0,798.0,9,0.639,4,2,2,0
session_000004,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),155.68.207.12,6,657,24.61,0.497,68.9,8,2,1,2.95,0,1,375x667,en-US,search,13,4,6817.0,1085.0,6,0.213,2,5,2,0
session_000005,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,213.161.159.227,6,648,10.0,0.689,55.5,4,1,3,4.21,1,1,375x667,en-GB,direct,16,4,6411.0,568.0,6,0.276,2,1,1,0
session_000006,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,75.253.21.219,9,795,89.72,0.597,90.6,9,1,1,3.44,1,1,1920x1080,fr-FR,direct,10,7,7619.0,929.0,5,0.631,4,3,0,0
session_000007,curl/7.68.0,95.91.54.172,16,86,7.93,0.283,22.9,2,0,0,12.28,0,1,800x600,,direct,21,6,777.0,846.0,9,0.923,0,0,0,1
session_000008,PostmanRuntime/7.26.8,70.254.237.164,17,185,3.86,0.171,8.7,2,0,1,13.66,0,1,1024x768,,social,1,1,406.0,714.0,13,0.983,1,0,0,1
session_000009,PostmanRuntime/7.26.8,103.69.17.55,8,252,7.06,0.101,28.2,1,0,0,10.79,0,0,unknown,en,direct,21,2,887.0,743.0,7,0.88,0,0,0,1
session_000010,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,68.36.64.191,7,740,29.97,0.436,40.4,8,0,0,1.69,1,1,375x667,es-ES,search,14,6,10097.0,1015.0,4,0.642,2,3,2,0
session_000011,Go-http-client/1.1,93.57.36.131,9,231,4.18,0.231,7.3,3,0,0,13.57,1,1,800x600,en,direct,6,5,490.0,1039.0,9,0.927,1,0,0,1
session_000012,PostmanRuntime/7.26.8,153.17.99.98,9,115,3.27,0.214,14.4,1,0,1,11.88,0,0,0x0,,direct,7,2,703.0,935.0,6,0.902,1,0,1,1
session_000013,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,30.175.227.138,7,263,54.82,0.332,93.9,6,1,2,3.23,1,1,1440x900,en-US,direct,17,3,5815.0,841.0,6,0.576,3,0,3,0
session_000014,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,185.225.185.68,4,30,49.55,0.656,75.5,8,4,1,3.95,1,1,1366x768,de-DE,search,21,3,10325.0,1227.0,3,0.555,1,2,2,0
session_000015,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,164.130.156.51,1,653,103.1,0.318,40.2,11,1,1,4.57,1,1,1440x900,en-GB,search,20,3,5097.0,1328.0,1,0.503,3,2,1,0
session_000016,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1.154.83.126,5,819,61.49,0.396,82.4,9,2,0,1.64,1,1,1920x1080,es-ES,social,13,6,10038.0,1204.0,5,0.436,5,8,2,0
session_000017,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,15.62.225.146,3,30,59.42,0.719,43.5,5,2,0,2.69,1,1,1920x1080,pt-BR,direct,16,1,3353.0,1108.0,3,0.388,1,3,0,0
session_000018,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),197.33.33.169,3,1025,24.1,0.437,68.8,15,5,3,2.46,1,1,375x667,en-GB,direct,12,2,2354.0,1005.0,3,0.636,5,2,1,0
